iter	Passed	Remaining
408	4243	9762
409	4251	9748
410	4260	9733
411	4268	9719
412	4278	9706
413	4287	9693
414	4297	9681
415	4306	9668
416	4315	9656
417	4324	9643
418	4333	9628
419	4343	9617
420	4353	9605
421	4362	9592
422	4371	9580
423	4379	9565
424	4388	9552
425	4397	9539
426	4407	9527
427	4416	9513
428	4424	9499
429	4434	9486
430	4443	9473
431	4452	9462
432	4461	9448
433	4471	9436
434	4480	9423
435	4489	9410
436	4498	9398
437	4508	9386
438	4517	9373
439	4526	9362
440	4536	9351
441	4547	9341
442	4557	9330
443	4565	9316
444	4575	9304
445	4585	9294
446	4594	9281
447	4603	9268
448	4612	9256
449	4621	9243
450	4630	9230
451	4639	9216
452	4648	9205
453	4658	9193
454	4667	9181
455	4677	9169
456	4686	9157
457	4695	9144
458	4704	9131
459	4712	9117
460	4721	9104
461	4731	9093
462	4739	9080
463	4750	9071
464	4759	9058
465	4768	9045
466	4778	9034
467	4786	9020
468	4795	9007
469	4804	8995
470	4813	8983
471	4823	8972
472	4832	8959
473	4840	8945
474	4850	8934
475	4859	8922
476	4870	8913
477	4882	8906
478	4893	8898
479	4905	8890
480	4919	8887
481	4934	8885
482	4948	8882
483	4962	8878
484	4973	8869
485	4984	8860
486	4994	8850
487	5005	8841
488	5017	8834
489	5028	8825
490	5039	8816
491	5051	8808
492	5061	8799
493	5072	8789
494	5084	8781
495	5095	8773
496	5104	8760
497	5113	8747
498	5122	8735
499	5131	8723
500	5141	8712
501	5151	8702
502	5160	8689
503	5170	8678
504	5179	8667
505	5189	8655
506	5198	8642
507	5207	8630
508	5216	8619
509	5225	8607
510	5234	8594
511	5243	8581
512	5252	8569
513	5261	8557
514	5269	8543
515	5278	8531
516	5287	8519
517	5297	8509
518	5306	8496
519	5316	8485
520	5324	8471
521	5334	8460
522	5343	8449
523	5353	8439
524	5364	8429
525	5372	8416
526	5382	8405
527	5392	8394
528	5401	8383
529	5411	8372
530	5421	8361
531	5430	8349
532	5439	8338
533	5448	8326
534	5458	8315
535	5467	8303
536	5476	8291
537	5486	8281
538	5495	8269
539	5504	8256
540	5514	8246
541	5524	8235
542	5533	8224
543	5543	8213
544	5552	8201
545	5562	8190
546	5571	8179
547	5580	8167
548	5589	8154
549	5597	8142
550	5607	8131
551	5616	8118
552	5625	8107
553	5634	8096
554	5644	8085
555	5654	8074
556	5663	8063
557	5672	8051
558	5680	8038
559	5690	8027
560	5700	8016
561	5709	8005
562	5717	7992
563	5727	7982
564	5737	7971
565	5748	7962
566	5757	7950
567	5767	7940
568	5776	7928
569	5784	7916
570	5794	7905
571	5803	7893
572	5813	7882
573	5821	7870
574	5831	7859
575	5840	7847
576	5849	7836
577	5858	7825
578	5867	7813
579	5876	7801
580	5885	7789
581	5894	7777
582	5903	7766
583	5912	7754
584	5922	7745
585	5931	7733
586	5940	7722
587	5950	7711
588	5959	7699
589	5969	7689
590	5979	7678
591	5988	7667
592	5997	7656
593	6008	7647
594	6017	7635
595	6026	7623
596	6035	7612
597	6044	7601
598	6054	7590
599	6063	7578
600	6071	7567
601	6080	7555
602	6090	7544
603	6099	7533
604	6108	7521
605	6117	7510
606	6126	7499
607	6135	7487
608	6144	7476
609	6153	7464
610	6162	7453
611	6171	7442
612	6180	7430
613	6189	7419
614	6199	7409
615	6208	7397
616	6217	7386
617	6227	7376
618	6236	7364
619	6245	7353
620	6254	7342
621	6263	7331
622	6272	7319
623	6281	7307
624	6290	7296
625	6299	7286
626	6308	7274
627	6317	7263
628	6326	7251
629	6335	7240
630	6344	7229
631	6353	7218
632	6362	7206
633	6372	7196
634	6382	7186
635	6391	7175
636	6400	7163
637	6409	7152
638	6418	7141
639	6427	7130
640	6436	7119
641	6446	7108
642	6455	7098
643	6464	7087
644	6474	7076
645	6483	7065
646	6492	7054
647	6501	7043
648	6510	7032
649	6519	7020
650	6528	7009
651	6537	6999
652	6547	6989
653	6556	6977
654	6565	6966
655	6575	6956
656	6584	6945
657	6593	6934
658	6602	6923
659	6612	6912
660	6622	6903
661	6632	6892
662	6640	6881
663	6649	6869
664	6658	6859
665	6668	6848
666	6677	6837
667	6686	6826
668	6694	6815
669	6704	6804
670	6713	6793
671	6723	6783
672	6732	6772
673	6742	6762
674	6751	6751
675	6761	6741
676	6771	6731
677	6781	6721
678	6790	6710
679	6799	6699
680	6809	6689
681	6818	6678
682	6828	6669
683	6838	6658
684	6848	6648
685	6857	6637
686	6865	6626
687	6875	6615
688	6885	6605
689	6895	6595
690	6903	6584
691	6912	6573
692	6921	6562
693	6931	6552
694	6941	6541
695	6950	6531
696	6961	6521
697	6970	6511
698	6980	6501
699	6990	6490
700	6999	6480
701	7009	6469
702	7018	6459
703	7028	6449
704	7036	6438
705	7046	6427
706	7056	6417
707	7065	6407
708	7075	6396
709	7083	6385
710	7092	6374
711	7101	6363
712	7110	6352
713	7122	6344
714	7157	6356
715	7174	6352
716	7183	6342
717	7193	6331
718	7202	6320
719	7212	6310
720	7222	6300
721	7232	6290
722	7243	6281
723	7255	6273
724	7266	6264
725	7276	6253
726	7284	6242
727	7293	6231
728	7302	6220
729	7310	6209
730	7320	6198
731	7329	6187
732	7340	6179
733	7351	6169
734	7363	6161
735	7375	6152
736	7386	6143
737	7395	6133
738	7405	6122
739	7414	6112
740	7423	6101
741	7432	6090
742	7442	6080
743	7451	6069
744	7460	6058
745	7470	6048
746	7479	6037
747	7488	6026
748	7497	6015
749	7505	6004
750	7514	5993
751	7522	5982
752	7532	5971
753	7541	5961
754	7550	5950
755	7559	5939
756	7568	5929
757	7578	5918
758	7587	5908
759	7598	5898
760	7606	5887
761	7616	5877
762	7625	5866
763	7635	5856
764	7644	5845
765	7653	5835
766	7663	5824
767	7672	5813
768	7680	5802
769	7690	5792
770	7699	5781
771	7708	5771
772	7718	5761
773	7728	5751
774	7737	5740
775	7746	5730
776	7754	5718
777	7764	5708
778	7773	5697
779	7782	5687
780	7791	5676
781	7801	5666
782	7810	5656
783	7819	5645
784	7828	5634
785	7837	5623
786	7846	5613
787	7855	5602
788	7864	5591
789	7873	5581
790	7883	5571
791	7892	5560
792	7901	5549
793	7911	5539
794	7920	5529
795	7930	5519
796	7940	5509
797	7950	5499
798	7959	5488
799	7968	5478
800	7976	5467
801	7985	5456
802	7994	5445
803	8004	5435
804	8013	5425
805	8021	5414
806	8030	5403
807	8040	5393
808	8049	5382
809	8060	5373
810	8069	5362
811	8079	5353
812	8088	5342
813	8098	5332
814	8111	5324
815	8121	5314
816	8132	5305
817	8143	5296
818	8156	5288
819	8166	5278
820	8175	5267
821	8184	5257
822	8194	5247
823	8204	5237
824	8213	5226
825	8222	5216
826	8232	5206
827	8241	5195
828	8250	5185
829	8259	5174
830	8268	5163
831	8277	5153
832	8285	5142
833	8294	5131
834	8303	5121
835	8313	5111
836	8321	5100
837	8330	5089
838	8340	5080
839	8350	5069
840	8360	5059
841	8369	5049
842	8379	5039
843	8387	5028
844	8397	5018
845	8406	5008
846	8416	4998
847	8424	4987
848	8434	4977
849	8444	4967
850	8453	4957
851	8463	4946
852	8472	4936
853	8481	4925
854	8492	4916
855	8501	4906
856	8510	4896
857	8519	4885
858	8528	4875
859	8538	4864
860	8546	4854
861	8555	4843
862	8564	4833
863	8573	4822
864	8582	4812
865	8593	4802
866	8603	4792
867	8612	4782
868	8621	4772
869	8631	4762
870	8640	4751
871	8649	4741
872	8659	4731
873	8668	4721
874	8678	4711
875	8687	4700
876	8696	4690
877	8706	4680
878	8715	4670
879	8724	4659
880	8733	4649
881	8742	4639
882	8751	4628
883	8761	4618
884	8770	4608
885	8779	4597
886	8787	4587
887	8797	4576
888	8808	4567
889	8817	4557
890	8827	4547
891	8837	4537
892	8846	4527
893	8855	4516
894	8865	4506
895	8874	4496
896	8883	4486
897	8892	4475
898	8901	4465
899	8910	4455
900	8919	4444
901	8928	4434
902	8937	4424
903	8947	4414
904	8957	4404
905	8966	4394
906	8975	4383
907	8984	4373
908	8994	4363
909	9004	4353
910	9013	4343
911	9022	4333
912	9032	4323
913	9041	4313
914	9051	4303
915	9059	4292
916	9069	4282
917	9078	4272
918	9087	4262
919	9096	4251
920	9105	4241
921	9114	4231
922	9124	4220
923	9132	4210
924	9143	4200
925	9153	4191
926	9162	4180
927	9171	4170
928	9180	4160
929	9189	4150
930	9199	4140
931	9208	4130
932	9218	4120
933	9227	4109
934	9236	4099
935	9246	4089
936	9255	4079
937	9264	4069
938	9272	4058
939	9281	4048
940	9290	4038
941	9300	4028
942	9309	4017
943	9319	4008
944	9328	3997
945	9337	3987
946	9346	3977
947	9355	3967
948	9364	3957
949	9373	3946
950	9382	3936
951	9392	3926
952	9404	3917
953	9413	3907
954	9423	3897
955	9433	3887
956	9442	3877
957	9452	3867
958	9461	3857
959	9471	3847
960	9480	3837
961	9489	3827
962	9498	3817
963	9507	3806
964	9517	3797
965	9527	3787
966	9536	3777
967	9544	3766
968	9553	3756
969	9562	3746
970	9572	3736
971	9581	3726
972	9591	3716
973	9600	3706
974	9610	3696
975	9620	3686
976	9630	3676
977	9640	3666
978	9649	3656
979	9658	3646
980	9669	3637
981	9678	3626
982	9687	3616
983	9695	3606
984	9705	3596
985	9713	3586
986	9723	3576
987	9732	3566
988	9741	3555
989	9751	3545
990	9760	3535
991	9769	3525
992	9778	3515
993	9787	3505
994	9796	3495
995	9805	3485
996	9815	3475
997	9823	3464
998	9834	3455
999	9843	3445
1000	9853	3435
1001	9862	3425
1002	9871	3415
1003	9880	3405
1004	9890	3395
1005	9899	3385
1006	9908	3374
1007	9917	3364
1008	9927	3354
1009	9936	3345
1010	9946	3335
1011	9955	3325
1012	9965	3315
1013	9974	3305
1014	9984	3295
1015	9993	3285
1016	10002	3275
1017	10011	3265
1018	10021	3255
1019	10032	3245
1020	10041	3235
1021	10050	3225
1022	10060	3215
1023	10069	3205
1024	10078	3195
1025	10087	3185
1026	10097	3175
1027	10106	3165
1028	10116	3155
1029	10125	3145
1030	10134	3135
1031	10144	3125
1032	10153	3115
1033	10162	3105
1034	10171	3095
1035	10180	3085
1036	10189	3075
1037	10197	3065
1038	10206	3055
1039	10215	3045
1040	10224	3034
1041	10233	3024
1042	10244	3015
1043	10253	3005
1044	10266	2996
1045	10276	2986
1046	10285	2976
1047	10296	2967
1048	10307	2957
1049	10318	2948
1050	10329	2938
1051	10340	2929
1052	10351	2919
1053	10361	2909
1054	10371	2899
1055	10381	2890
1056	10392	2880
1057	10403	2871
1058	10414	2861
1059	10424	2851
1060	10433	2841
1061	10443	2832
1062	10452	2822
1063	10461	2812
1064	10472	2802
1065	10481	2792
1066	10490	2782
1067	10499	2772
1068	10509	2762
1069	10518	2752
1070	10527	2742
1071	10536	2732
1072	10545	2722
1073	10554	2712
1074	10563	2702
1075	10571	2692
1076	10581	2682
1077	10590	2672
1078	10600	2662
1079	10609	2652
1080	10618	2642
1081	10627	2632
1082	10636	2622
1083	10647	2612
1084	10656	2602
1085	10665	2592
1086	10674	2582
1087	10684	2572
1088	10693	2562
1089	10703	2553
1090	10712	2543
1091	10721	2533
1092	10731	2523
1093	10741	2513
1094	10750	2503
1095	10759	2493
1096	10768	2483
1097	10776	2473
1098	10785	2463
1099	10795	2453
1100	10804	2443
1101	10813	2433
1102	10822	2423
1103	10832	2413
1104	10841	2403
1105	10851	2394
1106	10860	2383
1107	10868	2373
1108	10877	2363
1109	10888	2354
1110	10896	2344
1111	10905	2334
1112	10914	2324
1113	10923	2314
1114	10933	2304
1115	10942	2294
1116	10951	2284
1117	10960	2274
1118	10969	2264
1119	10977	2254
1120	10987	2244
1121	10996	2234
1122	11005	2224
1123	11014	2214
1124	11023	2204
1125	11033	2194
1126	11042	2185
1127	11053	2175
1128	11062	2165
1129	11072	2155
1130	11081	2145
1131	11091	2135
1132	11100	2126
1133	11108	2115
1134	11118	2106
1135	11127	2096
1136	11136	2086
1137	11145	2076
1138	11154	2066
1139	11163	2056
1140	11173	2046
1141	11182	2036
1142	11191	2026
1143	11200	2016
1144	11209	2007
1145	11219	1997
1146	11228	1987
1147	11239	1977
1148	11249	1967
1149	11259	1958
1150	11269	1948
1151	11279	1938
1152	11289	1928
1153	11298	1919
1154	11308	1909
1155	11317	1899
1156	11326	1889
1157	11335	1879
1158	11344	1869
1159	11353	1859
1160	11363	1849
1161	11372	1839
1162	11381	1829
1163	11390	1820
1164	11399	1810
1165	11409	1800
1166	11418	1790
1167	11427	1780
1168	11436	1770
1169	11447	1761
1170	11457	1751
1171	11466	1741
1172	11476	1731
1173	11485	1721
1174	11494	1711
1175	11503	1701
1176	11512	1692
1177	11521	1682
1178	11531	1672
1179	11540	1662
1180	11549	1652
1181	11559	1642
1182	11568	1633
1183	11577	1623
1184	11586	1613
1185	11595	1603
1186	11604	1593
1187	11614	1583
1188	11623	1573
1189	11632	1564
1190	11645	1554
1191	11655	1544
1192	11668	1535
1193	11696	1528
1194	11708	1518
1195	11720	1509
1196	11733	1499
1197	11744	1490
1198	11754	1480
1199	11764	1470
1200	11774	1460
1201	11782	1450
1202	11798	1441
1203	11810	1432
1204	11820	1422
1205	11833	1412
1206	11845	1403
1207	11860	1394
1208	11873	1384
1209	11884	1375
1210	11898	1365
1211	11910	1356
1212	11919	1346
1213	11928	1336
1214	11938	1326
1215	11948	1316
1216	11957	1306
1217	11967	1296
1218	11976	1287
1219	11986	1277
1220	11999	1267
1221	12009	1257
1222	12020	1248
1223	12030	1238
1224	12041	1228
1225	12050	1218
1226	12060	1208
1227	12070	1199
1228	12080	1189
1229	12089	1179
1230	12099	1169
1231	12107	1159
1232	12116	1149
1233	12125	1139
1234	12134	1129
1235	12143	1120
1236	12153	1110
1237	12162	1100
1238	12171	1090
1239	12181	1080
1240	12190	1070
1241	12199	1060
1242	12208	1050
1243	12217	1041
1244	12226	1031
1245	12235	1021
1246	12244	1011
1247	12254	1001
1248	12265	991
1249	12275	982
1250	12284	972
1251	12293	962
1252	12302	952
1253	12312	942
1254	12321	932
1255	12331	922
1256	12340	913
1257	12349	903
1258	12358	893
1259	12368	883
1260	12378	873
1261	12386	863
1262	12395	853
1263	12404	844
1264	12415	834
1265	12424	824
1266	12433	814
1267	12441	804
1268	12451	794
1269	12460	784
1270	12472	775
1271	12482	765
1272	12493	755
1273	12502	745
1274	12512	736
1275	12522	726
1276	12531	716
1277	12540	706
1278	12549	696
1279	12559	686
1280	12568	676
1281	12576	667
1282	12586	657
1283	12594	647
1284	12604	637
1285	12613	627
1286	12622	617
