iter	RMSE
0	0.2094012884
1	0.2065373342
2	0.2037331996
3	0.2009696582
4	0.1982901107
5	0.1956636763
6	0.1930728197
7	0.1905222606
8	0.1880081256
9	0.1855244713
10	0.1831276657
11	0.1807491487
12	0.1784327259
13	0.1761882605
14	0.1739684934
15	0.1717838547
16	0.1696330362
17	0.1675352079
18	0.1654595685
19	0.1634460365
20	0.1614804887
21	0.1595353492
22	0.1576360223
23	0.1557741307
24	0.1539356822
25	0.1521650126
26	0.1504028837
27	0.1486710649
28	0.1469882784
29	0.1453599434
30	0.1437645101
31	0.1421763097
32	0.1406280436
33	0.1391360307
34	0.137655153
35	0.1362097676
36	0.1347878886
37	0.1333804057
38	0.1320091774
39	0.1306938434
40	0.1293954656
41	0.1281454446
42	0.1268773041
43	0.1256509926
44	0.1244485914
45	0.1232813913
46	0.122149038
47	0.1210219239
48	0.1199186502
49	0.1188417944
50	0.1177923189
51	0.1167622253
52	0.1157474097
53	0.1147434504
54	0.1137810777
55	0.1128206749
56	0.1118994616
57	0.1109964704
58	0.1101197219
59	0.109240212
60	0.1083861956
61	0.1075381249
62	0.1067303591
63	0.1059327956
64	0.105138933
65	0.104382015
66	0.1036475703
67	0.1029256101
68	0.1022107732
69	0.1015220197
70	0.1008386432
71	0.1001608717
72	0.0995082335
73	0.09888059825
74	0.09828066965
75	0.09768709644
76	0.09708857972
77	0.09650221186
78	0.09593422318
79	0.09539071895
80	0.09483871264
81	0.09431917701
82	0.09381064315
83	0.09331150145
84	0.09282371928
85	0.09232163386
86	0.09183758584
87	0.0913525483
88	0.09088621659
89	0.09044807911
90	0.08999925755
91	0.08958671007
92	0.08914949098
93	0.0887320119
94	0.08835175461
95	0.08798079813
96	0.08757192635
97	0.08720120079
98	0.08683944175
99	0.08646217016
100	0.08611688144
101	0.0857696241
102	0.08543398641
103	0.08510670463
104	0.08475467344
105	0.08441256009
106	0.0840918959
107	0.08379199117
108	0.08347555464
109	0.08319337928
110	0.08290699677
111	0.0826307022
112	0.08235153252
113	0.08208493568
114	0.08182667237
115	0.08157276763
116	0.08131260836
117	0.08105137542
118	0.08080089879
119	0.08056164657
120	0.08033709106
121	0.08012538253
122	0.07990937192
123	0.0796950187
124	0.0794893754
125	0.07927307783
126	0.07906067255
127	0.07887146947
128	0.07864135781
129	0.07843401484
130	0.07822412124
131	0.07800657945
132	0.07780108532
133	0.07759741301
134	0.07740018779
135	0.07719968619
136	0.07699694547
137	0.07683055699
138	0.07663151974
139	0.07646873235
140	0.07631118838
141	0.07613141077
142	0.07595348808
143	0.07578436445
